Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
39TLW,0.07852978714678792,0.035716798727300166,38.382360013313715,38.1986112676275,1.937052329795824,1.1317310963814045,20.08123962123774,14.348827005761626,0.7362832123654581,0.0001321443276153424,6.4377675163159385,6.584818921423402
EHP40,0.020346643140361283,2.7533531010703882e-14,236.09737034512167,164.26574171930167,1.7376096310454177,0.7102907922546816,1.4649916558583582,-1.3792108518075044,0.6132791952877772,0.055828739467420174,50.15852118184034,23.78679057628348
QCXI1,0.12761149345775544,0.020063758982749813,4.88993139789495,2.9770399592745656,0.5951419684748068,-0.5604722005169971,0.22274487430290255,0.7691380053686818,0.6208192800508909,0.0012422764157674468,1.1374461411509316,2.2989967043209507
YM0VJ,0.10457821805654843,0.5384219737396398,126.96831759747728,19.043563181918394,0.6670354314776249,-0.98059856569243,0.7022561013928543,10.56068459286582,0.6952888987797199,0.004593193327607486,4.956617649093238,22.088716236743764
EQDEI,0.1068360502258805,0.6830905779898291,185.23552398675304,46.04763159379013,0.2965944861777784,-2.398455713548744,1.0856238258757012,33.99360360835497,0.8927081138538526,0.004739901281401854,13.157505049014304,38.97261837435881
885PJ,0.07700765617205896,0.7738785334950323,244.1466766619117,27.685222583934607,1.8718523449902664,-1.0510602897250434,2.245185261065159,1.8197821664141751,0.6657084691874979,0.005247696710091543,8.046316276631016,26.110300372936358
SQC41,0.07959054639443519,0.8091079484285021,177.2669926640076,21.31618290851602,0.013281943171184116,-1.0349253910080434,-0.9180407193560484,4.160386795239557,0.7483043977614954,-0.0023808719671772768,4.640171167283559,41.918288271554786
JSOO9,0.13498944913578606,0.12516366493623932,79.09558337459323,45.303633294242324,1.6853930093757925,0.6512943236554241,5.040268134790686,2.9846108985150432,0.7836910322043202,0.0019871845469426525,7.638160368042487,10.247131146418047
MGNO2,0.10272335373470398,0.13423644826035008,18.885865213117057,14.51353215986428,-1.7917206759691051,-0.16060107126444945,17.50406518934817,4.620362068940499,0.6410024607501299,-0.00027040128354663943,3.946066755909536,5.907277977932278
HQVQO,0.13396547539478365,0.11152337908618226,28.89543005747811,9.56401494903202,2.1042134930788468,-0.20073530045255056,6.120474822040203,-1.09619297022646,0.5874070584404321,0.04929752866704972,2.932438501424641,5.848326163544709
R0M7A,0.04018922574587158,0.016656689371712274,97.4964733287757,136.9982720914017,2.333134926467965,0.2098403385503138,4.605660236675198,1.918117035290491,0.9009083615633467,-0.005127559805140139,19.850219563712987,8.132523231225607
